"Indiana, 2007",,,,
,,,,
All Births,Total,,,
Total Teen Births (10 to 19) - all races,"10,040",,,
Mom 10 to 14 - All races,109,,,
Mom 15 to 17 - All races,"2,955",,,
Mom 18 to 19 - All races,"6,976",,,
Mom 20 to 24 - All races,"25,593",,,
Mom 25 to 29 - All races,"27,095",,,
Mom 30 to 34 - All races,"17,888",,,
Mom 35 to 39 - All races,"7,576",,,
Mom 40 to 44 - All races,"1,455",,,
Mom 45 + - All races,68,,,
Mom age unknown - All races,4,,,
Total Births - White,"77,171",,,
Total Teen Births (10 to 19) - White,"7,891",,,
Mom 10 to 14 - White,67,,,
Mom 15 to 17 - White,"2,242",,,
Mom 18 to 19 - White,"5,582",,,
Mom 20 to 24 - White,"21,754",,,
Mom 25 to 29 - White,"23,767",,,
Mom 30 to 34 - White,"15,831",,,
Mom 35 to 39 - White,"6,620",,,
Mom 40 to 44 - White,"1,250",,,
Mom 45 + - White,56,,,
Mom age unknown - White,2,,,
Total Births - Black,"10,303",,,
Total Teen Births (10 to 19) - Black,"2,027",,,
Mom 10 to 14 - Black,42,,,
Mom 15 to 17 - Black,675,,,
Mom 18 to 19 - Black,"1,310",,,
Mom 20 to 24 - Black,"3,483",,,
Mom 25 to 29 - Black,"2,617",,,
Mom 30 to 34 - Black,"1,387",,,
Mom 35 to 39 - Black,643,,,
Mom 40 to 44 - Black,137,,,
Mom 45 + - Black,9,,,
Mom age unknown - Black,0,,,
Total Births - Other,"2,245",,,
Total Teen Births (10 to 19) - Other,122,,,
Mom 10 to 14 - Other,0,,,
Mom 15 to 17 - Other,38,,,
Mom 18 to 19 - Other,84,,,
Mom 20 to 24 - Other,356,,,
Mom 25 to 29 - Other,711,,,
Mom 30 to 34 - Other,670,,,
Mom 35 to 39 - Other,313,,,
Mom 40 to 44 - Other,68,,,
Mom 45 + - Other,3,,,
Mom age unknown - Other,2,,,
,,,,
"Source: STATS Indiana, using data from the Indiana State Department of Health",,,,
Produced on 5/12/2014 10:29:04 AM.,,,,
,,,,
Home,,,,
About STATS,,,,
Sitemap,,,,
Report a problem with this page,,,,
Privacy Notice,,,,
,,,,
Connect: ,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"STATS Indiana is the statistical data utility for the State of Indiana, developed and maintained since 1985 by the Indiana Business Research Center at Indiana University's Kelley School of Business. Support is or has been provided by the State of Indiana and the Lilly Endowment, the Indiana Department of Workforce Development and Indiana University.",,,,
,,,,
"var _gaq = _gaq || []; _gaq.push(['_setAccount', 'UA-438745-1']); _gaq.push(['_trackPageview']); (function() { var ga = document.createElement('script'); ga.type = 'text/javascript'; ga.async = true; ga.src = ('https:' == document.location.protocol ? 'https://ssl' : 'http://www') + '.google-analytics.com/ga.js'; var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(ga, s); })();",,,,
