"Indiana, 2009",,,
,,,
All Births,Total,,
Total Births - All races,"86,126",,
Total Teen Births (10 to 19) - all races,"9,484",,
Total Premature Births - Gestation of 36 Weeks or Less,10,,
Total Births - Prenatal Care began during First Trimester,"56,929",,
,,,
"Source: STATS Indiana, using data from the Indiana State Department of Health",,,
Produced on 5/12/2014 10:26:26 AM.,,,
,,,
Home,,,
About STATS,,,
Sitemap,,,
Report a problem with this page,,,
Privacy Notice,,,
,,,
Connect: ,,,
,,,
,,,
,,,
,,,
,,,
"STATS Indiana is the statistical data utility for the State of Indiana, developed and maintained since 1985 by the Indiana Business Research Center at Indiana University's Kelley School of Business. Support is or has been provided by the State of Indiana and the Lilly Endowment, the Indiana Department of Workforce Development and Indiana University.",,,
,,,
"var _gaq = _gaq || []; _gaq.push(['_setAccount', 'UA-438745-1']); _gaq.push(['_trackPageview']); (function() { var ga = document.createElement('script'); ga.type = 'text/javascript'; ga.async = true; ga.src = ('https:' == document.location.protocol ? 'https://ssl' : 'http://www') + '.google-analytics.com/ga.js'; var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(ga, s); })();",,,
