"Indiana, 2011",
,
All Births,Total
Total Births - All races,83750
Total Teen Births (10 to 19) - all races,8010
Mom 10 to 14 - All races,93
Mom 15 to 17 - All races,2135
Mom 18 to 19 - All races,5782
Mom 20 to 24 - All races,22239
Mom 25 to 29 - All races,25785
Mom 30 to 34 - All races,18771
Mom 35 to 39 - All races,7283
Mom 40 to 44 - All races,1543
Mom 45 + - All races,68
Mom age unknown - All races,51
Total Births - White,69349
Total Teen Births (10 to 19) - White,6108
Mom 10 to 14 - White,61
Mom 15 to 17 - White,1567
Mom 18 to 19 - White,4480
Mom 20 to 24 - White,17862
Mom 25 to 29 - White,21990
Mom 30 to 34 - White,15992
Mom 35 to 39 - White,6033
Mom 40 to 44 - White,1269
Mom 45 + - White,53
Mom age unknown - White,42
Total Births - Black,9908
Total Teen Births (10 to 19) - Black,1574
Mom 10 to 14 - Black,25
Mom 15 to 17 - Black,458
Mom 18 to 19 - Black,1091
Mom 20 to 24 - Black,3487
Mom 25 to 29 - Black,2486
Mom 30 to 34 - Black,1552
Mom 35 to 39 - Black,635
Mom 40 to 44 - Black,162
Mom 45 + - Black,6
Mom age unknown - Black,6
Total Births - Other,4493
Total Teen Births (10 to 19) - Other,328
Mom 10 to 14 - Other,7
Mom 15 to 17 - Other,110
Mom 18 to 19 - Other,211
Mom 20 to 24 - Other,890
Mom 25 to 29 - Other,1309
Mom 30 to 34 - Other,1227
Mom 35 to 39 - Other,615
Mom 40 to 44 - Other,112
Mom 45 + - Other,9
Mom age unknown - Other,3
,
"Source: STATS Indiana, using data from the Indiana State Department of Health",
Produced on 5/12/2014 10:24:59 AM.,
,
Home,
About STATS,
Sitemap,
Report a problem with this page,
Privacy Notice,
,
Connect: ,
,
,
,
,
,
"STATS Indiana is the statistical data utility for the State of Indiana, developed and maintained since 1985 by the Indiana Business Research Center at Indiana University's Kelley School of Business. Support is or has been provided by the State of Indiana and the Lilly Endowment, the Indiana Department of Workforce Development and Indiana University.",
,
"var _gaq = _gaq || []; _gaq.push(['_setAccount', 'UA-438745-1']); _gaq.push(['_trackPageview']); (function() { var ga = document.createElement('script'); ga.type = 'text/javascript'; ga.async = true; ga.src = ('https:' == document.location.protocol ? 'https://ssl' : 'http://www') + '.google-analytics.com/ga.js'; var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(ga, s); })();",
